date,atelier,planned_hours,run_hours,availability,performance,quality,TRS_OEE
2026-02-09,Purification,19,17,0.895,0.934,0.932,0.779
2026-02-10,Fermentation,24,24,1.0,0.869,0.918,0.798
2026-02-11,Purification,22,19,0.864,0.878,0.923,0.7
2026-02-12,Fermentation,23,20,0.87,0.932,0.909,0.737
2026-02-13,Purification,22,17,0.773,0.806,0.963,0.6
2026-02-14,Purification,23,19,0.826,0.872,0.94,0.678
2026-02-15,Fermentation,21,16,0.762,0.854,0.929,0.605
2026-02-16,Fermentation,17,12,0.706,0.794,0.911,0.511
2026-02-17,Purification,19,18,0.947,0.92,0.926,0.807
2026-02-18,Fermentation,17,11,0.647,0.795,0.922,0.474
2026-02-19,Fermentation,20,20,1.0,0.913,0.912,0.833
2026-02-20,Purification,16,12,0.75,0.817,0.99,0.607
2026-02-21,Purification,17,11,0.647,0.753,0.927,0.452
2026-02-22,Purification,23,21,0.913,0.792,0.905,0.655
2026-02-23,Fermentation,17,11,0.647,0.765,0.947,0.469
2026-02-24,Fermentation,18,17,0.944,0.937,0.99,0.876
2026-02-25,Fermentation,19,19,1.0,0.878,0.94,0.825
2026-02-26,Purification,24,21,0.875,0.854,0.942,0.704
2026-02-27,Fermentation,20,16,0.8,0.893,0.958,0.684
2026-02-28,Fermentation,19,14,0.737,0.799,0.963,0.566
2026-03-01,Purification,19,18,0.947,0.877,0.915,0.76
2026-03-02,Fermentation,23,18,0.783,0.887,0.928,0.644
2026-03-03,Fermentation,20,15,0.75,0.815,0.982,0.6
2026-03-04,Fermentation,19,17,0.895,0.931,0.959,0.799
2026-03-05,Purification,22,22,1.0,0.875,0.962,0.842
2026-03-06,Purification,18,18,1.0,0.764,0.975,0.745
2026-03-07,Purification,23,23,1.0,0.858,0.929,0.797
2026-03-08,Fermentation,20,16,0.8,0.874,0.942,0.659
2026-03-09,Fermentation,22,17,0.773,0.824,0.924,0.588
2026-03-10,Fermentation,19,14,0.737,0.942,0.955,0.663
2026-03-11,Purification,20,16,0.8,0.759,0.972,0.59
2026-03-12,Purification,24,19,0.792,0.852,0.926,0.625
2026-03-13,Purification,23,23,1.0,0.858,0.939,0.806
2026-03-14,Purification,17,11,0.647,0.787,0.939,0.478
2026-03-15,Fermentation,20,15,0.75,0.967,0.977,0.709
2026-03-16,Purification,23,23,1.0,0.822,0.931,0.765
2026-03-17,Purification,24,18,0.75,0.977,0.962,0.705
2026-03-18,Purification,22,22,1.0,0.793,0.934,0.741
2026-03-19,Fermentation,23,17,0.739,0.762,0.925,0.521
2026-03-20,Fermentation,20,17,0.85,0.953,0.946,0.766
2026-03-21,Purification,19,14,0.737,0.786,0.952,0.552
2026-03-22,Purification,17,16,0.941,0.978,0.987,0.908
2026-03-23,Purification,17,12,0.706,0.941,0.947,0.63
2026-03-24,Purification,24,19,0.792,0.813,0.979,0.63
2026-03-25,Fermentation,19,16,0.842,0.877,0.936,0.691
2026-03-26,Purification,17,15,0.882,0.928,0.981,0.803
2026-03-27,Purification,24,22,0.917,0.939,0.927,0.798
2026-03-28,Purification,23,17,0.739,0.784,0.951,0.551
2026-03-29,Purification,21,17,0.81,0.925,0.936,0.701
2026-03-30,Purification,19,14,0.737,0.805,0.936,0.555
2026-03-31,Purification,16,14,0.875,0.921,0.967,0.78
2026-04-01,Fermentation,22,17,0.773,0.932,0.962,0.693
2026-04-02,Purification,23,23,1.0,0.779,0.992,0.773
2026-04-03,Purification,17,11,0.647,0.944,0.909,0.556
2026-04-04,Fermentation,16,11,0.688,0.783,0.983,0.529
2026-04-05,Purification,17,14,0.824,0.93,0.925,0.708
2026-04-06,Purification,17,11,0.647,0.826,0.964,0.515
2026-04-07,Fermentation,21,16,0.762,0.915,0.972,0.678
2026-04-08,Fermentation,17,16,0.941,0.895,0.987,0.832
2026-04-09,Fermentation,17,14,0.824,0.975,0.972,0.781
2026-04-10,Fermentation,23,22,0.957,0.91,0.986,0.858
2026-04-11,Purification,21,15,0.714,0.763,0.934,0.509
2026-04-12,Fermentation,18,17,0.944,0.872,0.954,0.786
2026-04-13,Fermentation,18,17,0.944,0.768,0.983,0.713
2026-04-14,Purification,23,19,0.826,0.783,0.944,0.61
2026-04-15,Purification,23,21,0.913,0.903,0.985,0.813
2026-04-16,Purification,20,15,0.75,0.876,0.907,0.596
2026-04-17,Purification,20,15,0.75,0.971,0.966,0.703
2026-04-18,Fermentation,20,19,0.95,0.98,0.981,0.913
